date,datetime,SACTMIN,SPOSTMIN,weekday,day_name
2017-06-23,2017-06-23 23:46:41,74.0,,5,Friday
2017-06-23,2017-06-24 00:02:40,60.0,,5,Friday
2017-06-24,2017-06-24 07:03:54,25.0,,6,Saturday
2017-06-24,2017-06-24 07:09:53,51.0,,6,Saturday
2017-06-24,2017-06-24 20:46:21,120.0,,6,Saturday
2017-06-24,2017-06-24 20:53:34,140.0,,6,Saturday
2017-06-24,2017-06-24 21:07:55,113.0,,6,Saturday
2017-06-25,2017-06-25 08:01:30,61.0,,7,Sunday
2017-06-25,2017-06-25 08:54:06,98.0,,7,Sunday
2017-06-25,2017-06-25 13:58:33,67.0,,7,Sunday
2017-06-25,2017-06-25 14:41:11,65.0,,7,Sunday
2017-06-25,2017-06-25 17:33:32,74.0,,7,Sunday
2017-06-25,2017-06-25 22:07:32,60.0,,7,Sunday
2017-06-25,2017-06-25 23:22:35,64.0,,7,Sunday
2017-06-25,2017-06-26 00:02:48,55.0,,7,Sunday
2017-06-25,2017-06-26 00:51:18,29.0,,7,Sunday
2017-06-26,2017-06-26 07:03:09,44.0,,1,Monday
2017-06-26,2017-06-26 07:10:55,33.0,,1,Monday
2017-06-26,2017-06-26 07:13:18,66.0,,1,Monday
2017-06-27,2017-06-27 08:26:40,280.0,,2,Tuesday
2017-06-27,2017-06-27 09:16:47,319.0,,2,Tuesday
2017-06-27,2017-06-27 20:28:16,61.0,,2,Tuesday
2017-06-27,2017-06-27 21:20:52,102.0,,2,Tuesday
2017-06-27,2017-06-27 21:35:42,113.0,,2,Tuesday
2017-06-27,2017-06-27 23:21:23,65.0,,2,Tuesday
2017-06-28,2017-06-28 20:51:40,77.0,,3,Wednesday
2017-06-29,2017-06-29 08:01:01,28.0,,4,Thursday
2017-06-29,2017-06-29 08:15:41,101.0,,4,Thursday
2017-06-29,2017-06-29 14:26:55,83.0,,4,Thursday
2017-06-29,2017-06-29 21:36:51,100.0,,4,Thursday
2017-06-29,2017-06-29 21:38:51,97.0,,4,Thursday
2017-06-29,2017-06-29 22:41:55,62.0,,4,Thursday
2017-06-30,2017-06-30 07:52:22,44.0,,5,Friday
2017-06-30,2017-06-30 08:00:21,58.0,,5,Friday
2017-06-30,2017-06-30 08:19:09,134.0,,5,Friday
2017-07-01,2017-07-01 06:57:45,31.0,,6,Saturday
2017-07-01,2017-07-01 07:04:03,31.0,,6,Saturday
2017-07-01,2017-07-01 07:44:21,62.0,,6,Saturday
2017-07-01,2017-07-01 08:01:45,51.0,,6,Saturday
2017-07-01,2017-07-01 13:58:58,75.0,,6,Saturday
2017-07-01,2017-07-01 15:54:00,116.0,,6,Saturday
2017-07-01,2017-07-01 16:29:11,125.0,,6,Saturday
2017-07-01,2017-07-01 16:49:20,121.0,,6,Saturday
2017-07-01,2017-07-01 20:37:59,88.0,,6,Saturday
2017-07-01,2017-07-01 22:09:12,81.0,,6,Saturday
2017-07-02,2017-07-02 08:00:18,43.0,,7,Sunday
2017-07-02,2017-07-02 11:10:55,112.0,,7,Sunday
2017-07-02,2017-07-02 15:53:33,86.0,,7,Sunday
2017-07-02,2017-07-02 22:03:11,68.0,,7,Sunday
2017-07-02,2017-07-02 22:11:35,80.0,,7,Sunday
2017-07-02,2017-07-02 22:57:18,105.0,,7,Sunday
2017-07-04,2017-07-04 07:51:50,19.0,,2,Tuesday
2017-07-04,2017-07-04 10:12:19,71.0,,2,Tuesday
2017-07-04,2017-07-04 14:23:19,142.0,,2,Tuesday
2017-07-04,2017-07-04 19:29:36,62.0,,2,Tuesday
2017-07-04,2017-07-04 20:13:44,54.0,,2,Tuesday
2017-07-04,2017-07-04 23:59:31,60.0,,2,Tuesday
2017-07-05,2017-07-05 08:07:34,28.0,,3,Wednesday
2017-07-05,2017-07-05 08:48:00,63.0,,3,Wednesday
2017-07-06,2017-07-06 21:20:28,91.0,,4,Thursday
2017-07-07,2017-07-07 18:56:34,87.0,,5,Friday
2017-07-07,2017-07-07 19:10:04,87.0,,5,Friday
2017-07-07,2017-07-07 21:31:55,84.0,,5,Friday
2017-07-07,2017-07-07 22:33:36,72.0,,5,Friday
2017-07-07,2017-07-07 23:36:12,46.0,,5,Friday
2017-07-08,2017-07-08 13:38:19,152.0,,6,Saturday
2017-07-08,2017-07-08 20:52:53,67.0,,6,Saturday
2017-07-08,2017-07-08 21:18:30,60.0,,6,Saturday
2017-07-08,2017-07-08 21:20:56,68.0,,6,Saturday
2017-07-09,2017-07-09 15:37:53,88.0,,7,Sunday
2017-07-09,2017-07-09 21:45:42,28.0,,7,Sunday
2017-07-09,2017-07-09 22:13:19,47.0,,7,Sunday
2017-07-09,2017-07-09 22:23:00,56.0,,7,Sunday
2017-07-10,2017-07-10 22:18:37,92.0,,1,Monday
2017-07-11,2017-07-11 08:54:30,47.0,,2,Tuesday
