date,datetime,SACTMIN,SPOSTMIN,weekday,day_name
2017-07-20,2017-07-20 18:57:54,52.0,,4,Thursday
2017-07-21,2017-07-21 09:32:30,27.0,,5,Friday
2017-07-21,2017-07-21 18:58:50,37.0,,5,Friday
2017-07-21,2017-07-21 21:30:59,11.0,,5,Friday
2017-07-21,2017-07-21 21:49:22,15.0,,5,Friday
2017-07-22,2017-07-22 08:35:32,4.0,,6,Saturday
2017-07-22,2017-07-22 08:44:11,12.0,,6,Saturday
2017-07-22,2017-07-22 08:48:54,13.0,,6,Saturday
2017-07-22,2017-07-22 09:02:53,10.0,,6,Saturday
2017-07-23,2017-07-23 19:23:55,48.0,,7,Sunday
2017-07-23,2017-07-23 19:46:58,46.0,,7,Sunday
2017-07-24,2017-07-24 09:13:03,56.0,,1,Monday
2017-07-24,2017-07-24 11:42:27,1.0,,1,Monday
2017-07-24,2017-07-24 15:35:15,121.0,,1,Monday
2017-07-24,2017-07-24 21:44:02,22.0,,1,Monday
2017-07-24,2017-07-24 22:19:45,22.0,,1,Monday
2017-07-25,2017-07-25 11:08:14,87.0,,2,Tuesday
2017-07-27,2017-07-27 09:28:29,40.0,,4,Thursday
2017-07-28,2017-07-27 22:41:29,17.0,,5,Friday
2017-07-28,2017-07-28 09:49:48,58.0,,5,Friday
2017-07-28,2017-07-28 22:15:36,22.0,,5,Friday
2017-07-29,2017-07-29 22:27:31,23.0,,6,Saturday
2017-07-30,2017-07-30 09:01:20,10.0,,7,Sunday
2017-07-30,2017-07-30 09:29:08,34.0,,7,Sunday
2017-07-30,2017-07-30 21:23:07,2.0,,7,Sunday
2017-07-31,2017-07-31 10:44:06,80.0,,1,Monday
2017-07-31,2017-07-31 14:25:37,74.0,,1,Monday
2017-07-31,2017-07-31 16:37:31,46.0,,1,Monday
2017-07-31,2017-07-31 22:16:14,25.0,,1,Monday
2017-08-01,2017-08-01 13:36:40,60.0,,2,Tuesday
2017-08-01,2017-08-01 23:02:05,0.0,,2,Tuesday
2017-08-02,2017-08-02 21:07:53,18.0,,3,Wednesday
2017-08-03,2017-08-03 09:21:02,25.0,,4,Thursday
2017-08-03,2017-08-03 09:36:49,35.0,,4,Thursday
2017-08-03,2017-08-03 23:20:21,14.0,,4,Thursday
2017-08-04,2017-08-04 21:23:20,16.0,,5,Friday
2017-08-04,2017-08-04 23:27:44,14.0,,5,Friday
2017-08-05,2017-08-05 08:19:01,4.0,,6,Saturday
2017-08-05,2017-08-05 10:43:17,71.0,,6,Saturday
2017-08-05,2017-08-05 20:48:57,27.0,,6,Saturday
2017-08-05,2017-08-05 21:22:53,11.0,,6,Saturday
2017-08-06,2017-08-06 08:52:15,7.0,,7,Sunday
2017-08-06,2017-08-06 21:56:18,13.0,,7,Sunday
2017-08-06,2017-08-06 22:01:31,15.0,,7,Sunday
2017-08-07,2017-08-07 09:23:18,17.0,,1,Monday
2017-08-07,2017-08-07 14:53:15,95.0,,1,Monday
2017-08-08,2017-08-08 08:57:07,4.0,,2,Tuesday
2017-08-09,2017-08-09 09:16:02,20.0,,3,Wednesday
2017-08-09,2017-08-09 09:16:47,26.0,,3,Wednesday
2017-08-09,2017-08-09 17:29:57,63.0,,3,Wednesday
2017-08-09,2017-08-09 22:08:34,12.0,,3,Wednesday
2017-08-09,2017-08-09 22:19:28,16.0,,3,Wednesday
2017-08-10,2017-08-10 09:17:52,23.0,,4,Thursday
2017-08-10,2017-08-10 09:19:34,24.0,,4,Thursday
2017-08-10,2017-08-10 22:37:41,26.0,,4,Thursday
2017-08-11,2017-08-11 09:59:56,73.0,,5,Friday
2017-08-11,2017-08-11 12:44:36,82.0,,5,Friday
2017-08-11,2017-08-11 22:14:24,38.0,,5,Friday
2017-08-12,2017-08-12 08:08:45,5.0,,6,Saturday
2017-08-12,2017-08-12 08:55:20,22.0,,6,Saturday
2017-08-12,2017-08-12 09:10:08,48.0,,6,Saturday
2017-08-13,2017-08-13 09:09:44,18.0,,7,Sunday
2017-08-13,2017-08-13 09:36:08,43.0,,7,Sunday
2017-08-13,2017-08-13 09:38:06,45.0,,7,Sunday
2017-08-13,2017-08-13 10:20:15,51.0,,7,Sunday
2017-08-13,2017-08-13 18:59:03,57.0,,7,Sunday
2017-08-14,2017-08-14 08:30:52,18.0,,1,Monday
2017-08-14,2017-08-14 08:39:38,24.0,,1,Monday
2017-08-14,2017-08-14 08:45:18,23.0,,1,Monday
2017-08-14,2017-08-14 09:01:35,34.0,,1,Monday
2017-08-14,2017-08-14 09:46:09,59.0,,1,Monday
2017-08-15,2017-08-15 14:55:14,99.0,,2,Tuesday
2017-08-15,2017-08-15 22:42:56,25.0,,2,Tuesday
2017-08-16,2017-08-16 09:17:55,36.0,,3,Wednesday
2017-08-17,2017-08-17 19:19:08,63.0,,4,Thursday
2017-08-17,2017-08-17 21:10:22,26.0,,4,Thursday
2017-08-17,2017-08-17 23:00:26,25.0,,4,Thursday
2017-08-18,2017-08-18 09:34:29,36.0,,5,Friday
2017-08-18,2017-08-18 18:56:03,99.0,,5,Friday
2017-08-18,2017-08-18 19:22:12,2.0,,5,Friday
2017-08-18,2017-08-18 21:04:21,25.0,,5,Friday
2017-08-18,2017-08-18 22:27:25,36.0,,5,Friday
2017-08-19,2017-08-19 08:23:57,17.0,,6,Saturday
2017-08-19,2017-08-19 21:16:43,29.0,,6,Saturday
2017-08-19,2017-08-19 22:20:18,28.0,,6,Saturday
2017-08-20,2017-08-20 09:33:17,56.0,,7,Sunday
2017-08-20,2017-08-20 16:28:17,63.0,,7,Sunday
2017-08-21,2017-08-21 08:25:00,12.0,,1,Monday
2017-08-21,2017-08-21 08:50:45,13.0,,1,Monday
2017-08-21,2017-08-21 12:13:01,110.0,,1,Monday
2017-08-22,2017-08-22 13:14:28,96.0,,2,Tuesday
2017-08-23,2017-08-23 09:24:20,52.0,,3,Wednesday
2017-08-23,2017-08-23 09:37:16,66.0,,3,Wednesday
2017-08-24,2017-08-24 08:59:31,2.0,,4,Thursday
2017-08-24,2017-08-24 09:16:16,27.0,,4,Thursday
2017-08-24,2017-08-24 09:32:40,48.0,,4,Thursday
2017-08-24,2017-08-24 09:54:14,66.0,,4,Thursday
2017-08-24,2017-08-24 10:35:08,74.0,,4,Thursday
2017-08-24,2017-08-24 19:40:51,60.0,,4,Thursday
2017-08-24,2017-08-24 21:06:17,11.0,,4,Thursday
2017-08-24,2017-08-24 21:20:57,16.0,,4,Thursday
2017-08-25,2017-08-25 09:01:27,13.0,,5,Friday
2017-08-25,2017-08-25 13:38:38,103.0,,5,Friday
2017-08-26,2017-08-26 09:05:40,23.0,,6,Saturday
2017-08-26,2017-08-26 09:12:16,33.0,,6,Saturday
2017-08-26,2017-08-26 09:20:55,46.0,,6,Saturday
2017-08-26,2017-08-26 17:53:58,70.0,,6,Saturday
2017-08-26,2017-08-26 18:59:35,51.0,,6,Saturday
2017-08-27,2017-08-27 09:32:30,43.0,,7,Sunday
2017-08-27,2017-08-27 09:56:56,71.0,,7,Sunday
2017-08-27,2017-08-27 20:50:08,9.0,,7,Sunday
2017-08-28,2017-08-28 08:12:07,11.0,,1,Monday
2017-08-28,2017-08-28 21:28:25,1.0,,1,Monday
2017-08-29,2017-08-29 09:02:31,6.0,,2,Tuesday
2017-08-29,2017-08-29 10:37:14,75.0,,2,Tuesday
2017-08-29,2017-08-29 10:38:56,74.0,,2,Tuesday
2017-08-29,2017-08-29 21:21:32,3.0,,2,Tuesday
2017-08-30,2017-08-30 08:45:23,4.0,,3,Wednesday
2017-08-30,2017-08-30 09:16:33,8.0,,3,Wednesday
2017-08-30,2017-08-30 13:57:11,58.0,,3,Wednesday
2017-08-30,2017-08-30 20:21:32,33.0,,3,Wednesday
2017-08-30,2017-08-30 20:30:24,28.0,,3,Wednesday
2017-08-31,2017-08-31 09:16:42,25.0,,4,Thursday
2017-08-31,2017-08-31 09:59:35,49.0,,4,Thursday
2017-08-31,2017-08-31 09:59:42,50.0,,4,Thursday
2017-08-31,2017-08-31 10:29:07,58.0,,4,Thursday
2017-08-31,2017-08-31 21:28:06,12.0,,4,Thursday
2017-09-01,2017-09-01 09:18:11,15.0,,5,Friday
2017-09-01,2017-09-01 09:20:38,19.0,,5,Friday
2017-09-01,2017-09-01 09:26:13,22.0,,5,Friday
2017-09-01,2017-09-01 18:28:43,50.0,,5,Friday
2017-09-02,2017-09-02 12:08:40,71.0,,6,Saturday
2017-09-02,2017-09-02 12:40:37,138.0,,6,Saturday
2017-09-02,2017-09-02 16:21:15,6.0,,6,Saturday
2017-09-02,2017-09-02 20:59:17,20.0,,6,Saturday
2017-09-03,2017-09-03 09:23:01,75.0,,7,Sunday
2017-09-03,2017-09-03 20:40:48,31.0,,7,Sunday
2017-09-04,2017-09-04 08:03:32,12.0,,1,Monday
2017-09-04,2017-09-04 08:11:29,24.0,,1,Monday
2017-09-04,2017-09-04 08:13:21,15.0,,1,Monday
2017-09-04,2017-09-04 08:17:58,20.0,,1,Monday
2017-09-04,2017-09-04 08:19:03,17.0,,1,Monday
2017-09-04,2017-09-04 08:42:41,31.0,,1,Monday
2017-09-04,2017-09-04 08:48:07,20.0,,1,Monday
2017-09-04,2017-09-04 09:26:12,45.0,,1,Monday
2017-09-04,2017-09-04 14:04:07,52.0,,1,Monday
2017-09-05,2017-09-05 09:11:21,25.0,,2,Tuesday
2017-09-05,2017-09-05 20:05:12,32.0,,2,Tuesday
2017-09-06,2017-09-06 09:09:22,7.0,,3,Wednesday
2017-09-06,2017-09-06 09:37:44,34.0,,3,Wednesday
2017-09-06,2017-09-06 09:38:17,22.0,,3,Wednesday
2017-09-06,2017-09-06 11:27:31,64.0,,3,Wednesday
2017-09-06,2017-09-06 16:56:40,22.0,,3,Wednesday
2017-09-06,2017-09-06 18:31:17,44.0,,3,Wednesday
2017-09-07,2017-09-07 09:20:51,16.0,,4,Thursday
2017-09-07,2017-09-07 18:02:16,54.0,,4,Thursday
2017-09-07,2017-09-07 18:32:39,28.0,,4,Thursday
2017-09-07,2017-09-07 19:25:38,20.0,,4,Thursday
2017-09-07,2017-09-07 19:49:47,22.0,,4,Thursday
2017-09-08,2017-09-08 14:26:04,30.0,,5,Friday
2017-09-08,2017-09-08 14:38:47,29.0,,5,Friday
2017-09-09,2017-09-09 08:27:31,4.0,,6,Saturday
2017-09-09,2017-09-09 08:43:48,1.0,,6,Saturday
2017-09-09,2017-09-09 09:09:44,0.0,,6,Saturday
2017-09-12,2017-09-12 12:15:11,24.0,,2,Tuesday
2017-09-12,2017-09-12 14:08:21,25.0,,2,Tuesday
2017-09-12,2017-09-12 15:47:59,8.0,,2,Tuesday
2017-09-14,2017-09-14 09:01:41,5.0,,4,Thursday
2017-09-14,2017-09-14 09:21:04,9.0,,4,Thursday
2017-09-14,2017-09-14 09:34:12,14.0,,4,Thursday
2017-09-14,2017-09-14 10:35:13,44.0,,4,Thursday
2017-09-14,2017-09-14 14:36:31,52.0,,4,Thursday
2017-09-14,2017-09-14 15:41:46,61.0,,4,Thursday
2017-09-14,2017-09-14 15:42:04,61.0,,4,Thursday
2017-09-15,2017-09-15 09:25:40,22.0,,5,Friday
2017-09-16,2017-09-16 09:07:20,21.0,,6,Saturday
2017-09-16,2017-09-16 20:58:40,0.0,,6,Saturday
2017-09-17,2017-09-17 09:37:59,61.0,,7,Sunday
2017-09-17,2017-09-17 09:50:20,74.0,,7,Sunday
2017-09-17,2017-09-17 15:20:00,54.0,,7,Sunday
2017-09-18,2017-09-18 08:25:05,24.0,,1,Monday
2017-09-18,2017-09-18 08:28:16,28.0,,1,Monday
2017-09-18,2017-09-18 11:41:04,112.0,,1,Monday
2017-09-18,2017-09-18 17:08:31,77.0,,1,Monday
2017-09-18,2017-09-18 18:52:38,68.0,,1,Monday
2017-09-20,2017-09-20 09:16:39,10.0,,3,Wednesday
2017-09-20,2017-09-20 09:44:07,51.0,,3,Wednesday
2017-09-20,2017-09-20 11:35:45,90.0,,3,Wednesday
2017-09-20,2017-09-20 12:36:52,61.0,,3,Wednesday
2017-09-21,2017-09-21 08:48:52,2.0,,4,Thursday
2017-09-21,2017-09-21 09:11:31,27.0,,4,Thursday
2017-09-21,2017-09-21 12:55:09,61.0,,4,Thursday
2017-09-21,2017-09-21 13:17:25,70.0,,4,Thursday
2017-09-21,2017-09-21 15:43:46,120.0,,4,Thursday
2017-09-22,2017-09-22 09:05:04,3.0,,5,Friday
2017-09-22,2017-09-22 18:34:15,58.0,,5,Friday
2017-09-23,2017-09-23 09:14:19,28.0,,6,Saturday
2017-09-23,2017-09-23 20:22:25,14.0,,6,Saturday
2017-09-23,2017-09-23 20:22:25,23.0,,6,Saturday
2017-09-23,2017-09-23 20:41:13,8.0,,6,Saturday
